# Feature / Sample,PRISM|7860,PRISM|8573,PRISM|9079,PRISM|8758,PRISM|7855,PRISM|7408,PRISM|7947,PRISM|8735,PRISM|8264,PRISM|8784,PRISM|8565,PRISM|8537,PRISM|8849,PRISM|8226,PRISM|8754,PRISM|7911,PRISM|7897,PRISM|9126,PRISM|8464,PRISM|8803,PRISM|8629,PRISM|7421,PRISM|8878,PRISM|8998,PRISM|7908,PRISM|8692,PRISM|8894,PRISM|8361,PRISM|8605,PRISM|8746,PRISM|7744
Methanosphaera_stadtmanae,0.000533,0.000455,0.000248,0.000010,0.000474,0.000056,0.000508,0.000170,0.000010,0.000490,0.000012,0.000057,0.000010,0.000010,0.000455,0.000357,0.000534,0.000332,0.000010,0.000454,0.000010,0.000542,0.000332,0.000288,0.000539,0.000497,0.000360,0.000543,0.000535,0.000010,0.000547
Rothia_mucilaginosa,0.000017,0.000023,0.000043,0.000443,0.000020,0.000100,0.000019,0.000055,0.000248,0.000018,0.000199,0.000101,0.000286,0.000371,0.000021,0.000033,0.000016,0.000033,0.000352,0.000021,0.000480,0.000016,0.000032,0.000030,0.000014,0.000020,0.000029,0.000015,0.000019,0.000338,0.000015
Propionibacterium_freudenreichii,0.000036,0.000042,0.000069,0.000011,0.000040,0.000081,0.000040,0.000083,0.000010,0.000039,0.000037,0.000075,0.000037,0.000027,0.000054,0.000064,0.000032,0.000068,0.000010,0.000043,0.000016,0.000031,0.000065,0.000053,0.000028,0.000042,0.000056,0.000030,0.000037,0.000023,0.000031
Bifidobacterium_adolescentis,0.062680,0.036185,0.007404,0.000010,0.043286,0.000438,0.052251,0.003472,0.000010,0.052253,0.000062,0.000507,0.000036,0.000020,0.035745,0.017271,0.070541,0.014727,0.000010,0.039122,0.000010,0.073620,0.014668,0.013656,0.085229,0.047578,0.018638,0.078773,0.058992,0.000018,0.076590
Bifidobacterium_animalis,0.001417,0.001339,0.001132,0.001362,0.001409,0.000791,0.001425,0.001003,0.001425,0.001386,0.000667,0.000826,0.000813,0.000764,0.001309,0.001316,0.001402,0.001230,0.001533,0.001364,0.001087,0.001430,0.001228,0.001130,0.001436,0.001397,0.001245,0.001434,0.001423,0.000704,0.001402
Bifidobacterium_bifidum,0.008898,0.009267,0.008302,0.000186,0.009179,0.004708,0.009014,0.007000,0.000081,0.008852,0.001620,0.004487,0.001203,0.000755,0.008780,0.008910,0.008706,0.008892,0.000113,0.009169,0.000306,0.008821,0.008593,0.008610,0.008635,0.009011,0.009058,0.008718,0.009104,0.000678,0.008646
Bifidobacterium_breve,0.000181,0.000232,0.000565,0.008202,0.000218,0.002102,0.000199,0.000879,0.007045,0.000193,0.003329,0.001947,0.004808,0.005092,0.000250,0.000392,0.000162,0.000432,0.008286,0.000225,0.007227,0.000161,0.000418,0.000369,0.000148,0.000211,0.000348,0.000154,0.000189,0.004703,0.000153
Bifidobacterium_catenulatum,0.000119,0.000112,0.000086,0.000010,0.000115,0.000038,0.000118,0.000069,0.000010,0.000115,0.000013,0.000038,0.000013,0.000010,0.000115,0.000103,0.000114,0.000104,0.000010,0.000112,0.000010,0.000116,0.000102,0.000090,0.000113,0.000117,0.000103,0.000115,0.000120,0.000010,0.000115
Bifidobacterium_dentium,0.000417,0.000532,0.000958,0.010531,0.000487,0.002095,0.000453,0.001160,0.008841,0.000431,0.003977,0.002075,0.005482,0.006780,0.000501,0.000712,0.000385,0.000738,0.010395,0.000504,0.009810,0.000389,0.000722,0.000684,0.000352,0.000470,0.000674,0.000373,0.000443,0.006313,0.000374
Bifidobacterium_longum,0.027030,0.032101,0.039628,0.002740,0.029158,0.046415,0.027738,0.042567,0.000877,0.027518,0.025421,0.043851,0.018356,0.014096,0.029344,0.032479,0.025968,0.034205,0.001346,0.029634,0.005348,0.026328,0.034132,0.036101,0.024909,0.028529,0.034659,0.025614,0.028285,0.013289,0.025828
Bifidobacterium_pseudocatenulatum,0.003947,0.003725,0.002750,0.000102,0.003725,0.001277,0.003785,0.002237,0.000057,0.003610,0.000476,0.001302,0.000398,0.000257,0.003497,0.003233,0.003892,0.003263,0.000071,0.003609,0.000139,0.003946,0.003168,0.002883,0.003855,0.003832,0.003282,0.003913,0.004024,0.000240,0.003946
Adlercreutzia_equolifaciens,0.002916,0.002984,0.003091,0.000086,0.003016,0.002093,0.003002,0.002928,0.000023,0.002939,0.000866,0.002132,0.000669,0.000466,0.003226,0.003252,0.002733,0.003439,0.000038,0.003001,0.000170,0.002705,0.003280,0.002980,0.002584,0.003037,0.003183,0.002659,0.002933,0.000425,0.002668
Collinsella_aerofaciens,0.024525,0.025611,0.024852,0.000518,0.024403,0.014597,0.024434,0.023573,0.000191,0.023377,0.005848,0.015331,0.004135,0.002828,0.024314,0.024600,0.023899,0.025299,0.000271,0.024535,0.000974,0.024065,0.025113,0.023197,0.022929,0.024896,0.025455,0.023492,0.025294,0.002686,0.024004
Collinsella_intestinalis,0.000364,0.000514,0.001367,0.000258,0.000462,0.003693,0.000420,0.002112,0.000065,0.000419,0.002358,0.003404,0.002059,0.001499,0.000612,0.000850,0.000318,0.001022,0.000114,0.000505,0.000535,0.000306,0.000995,0.000939,0.000267,0.000447,0.000836,0.000288,0.000380,0.001350,0.000298
Collinsella_unclassified,0.000070,0.000080,0.000115,0.000018,0.000078,0.000115,0.000076,0.000125,0.000010,0.000073,0.000057,0.000112,0.000060,0.000042,0.000088,0.000106,0.000064,0.000114,0.000011,0.000080,0.000026,0.000063,0.000109,0.000094,0.000059,0.000078,0.000099,0.000061,0.000072,0.000036,0.000061
Eggerthella_lenta,0.000488,0.000572,0.000892,0.000113,0.000540,0.000993,0.000513,0.001013,0.000034,0.000490,0.000528,0.000983,0.000494,0.000380,0.000610,0.000741,0.000455,0.000821,0.000058,0.000552,0.000191,0.000447,0.000792,0.000702,0.000410,0.000537,0.000720,0.000432,0.000506,0.000345,0.000438
Eggerthella_sp_1_3_56FAA,0.001087,0.001227,0.001387,0.000143,0.001180,0.001265,0.001137,0.001373,0.000059,0.001116,0.000615,0.001222,0.000566,0.000400,0.001180,0.001374,0.001028,0.001392,0.000088,0.001176,0.000218,0.001042,0.001325,0.001285,0.000988,0.001149,0.001317,0.001016,0.001127,0.000349,0.001016
Eggerthella_unclassified,0.002959,0.003496,0.005033,0.001825,0.003285,0.007378,0.003111,0.005842,0.000860,0.003101,0.005367,0.007185,0.005240,0.004245,0.003524,0.004178,0.002767,0.004571,0.001180,0.003332,0.002616,0.002757,0.004439,0.004374,0.002598,0.003203,0.004182,0.002676,0.003047,0.003946,0.002699
Gordonibacter_pamelaeae,0.000928,0.000970,0.001040,0.000017,0.000973,0.000582,0.000978,0.000979,0.000010,0.000966,0.000145,0.000570,0.000117,0.000064,0.001096,0.001106,0.000876,0.001154,0.000010,0.000999,0.000027,0.000866,0.001110,0.000995,0.000824,0.000984,0.001070,0.000847,0.000939,0.000056,0.000856
Slackia_piriformis,0.000468,0.000417,0.000233,0.000010,0.000424,0.000061,0.000447,0.000165,0.000010,0.000429,0.000014,0.000063,0.000012,0.000010,0.000386,0.000315,0.000471,0.000304,0.000010,0.000406,0.000010,0.000482,0.000299,0.000271,0.000484,0.000440,0.000331,0.000482,0.000475,0.000010,0.000481
Bacteroides_caccae,0.006026,0.007298,0.014901,0.002040,0.006830,0.029758,0.006572,0.019628,0.000581,0.006446,0.018718,0.028638,0.015236,0.010728,0.007872,0.010269,0.005589,0.011119,0.000964,0.007208,0.003931,0.005558,0.011468,0.010516,0.005166,0.006757,0.009999,0.005409,0.006197,0.009858,0.005415
Bacteroides_cellulosilyticus,0.003970,0.004305,0.004515,0.000180,0.004240,0.002791,0.004107,0.004352,0.000083,0.004047,0.001080,0.002921,0.000926,0.000563,0.004580,0.004579,0.003761,0.005060,0.000113,0.004237,0.000263,0.003726,0.004845,0.004402,0.003549,0.004192,0.004638,0.003642,0.004048,0.000524,0.003647
Bacteroides_dorei,0.006480,0.007957,0.014428,0.013077,0.007530,0.025713,0.006998,0.018127,0.010644,0.006910,0.018576,0.024153,0.020103,0.015357,0.008176,0.011072,0.006064,0.012040,0.012075,0.007820,0.013463,0.006006,0.011833,0.011170,0.005620,0.007265,0.010517,0.005847,0.006679,0.014244,0.005845
Bacteroides_eggerthii,0.003261,0.003328,0.003457,0.000035,0.003371,0.002027,0.003410,0.003291,0.000014,0.003389,0.000432,0.001916,0.000323,0.000157,0.003802,0.003715,0.003123,0.003821,0.000021,0.003456,0.000058,0.003095,0.003713,0.003443,0.002990,0.003394,0.003603,0.003066,0.003281,0.000138,0.003070
Bacteroides_faecis,0.000374,0.000485,0.000847,0.000801,0.000447,0.001357,0.000406,0.000986,0.000359,0.000392,0.001346,0.001367,0.001461,0.001428,0.000479,0.000653,0.000339,0.000733,0.000519,0.000457,0.001069,0.000336,0.000690,0.000646,0.000302,0.000428,0.000631,0.000320,0.000392,0.001320,0.000320
Bacteroides_finegoldii,0.000544,0.000615,0.000800,0.000117,0.000586,0.000827,0.000574,0.000876,0.000042,0.000572,0.000487,0.000799,0.000438,0.000364,0.000676,0.000690,0.000512,0.000767,0.000066,0.000601,0.000192,0.000507,0.000750,0.000708,0.000480,0.000587,0.000719,0.000491,0.000556,0.000332,0.000496
Bacteroides_fragilis,0.006730,0.006719,0.006897,0.000116,0.006915,0.004637,0.006909,0.006293,0.000041,0.006708,0.001470,0.004563,0.001083,0.000582,0.006954,0.007452,0.006564,0.007256,0.000062,0.006881,0.000204,0.006524,0.007075,0.006591,0.006333,0.006882,0.006954,0.006533,0.006759,0.000517,0.006462
Bacteroides_intestinalis,0.000333,0.000319,0.000266,0.000010,0.000331,0.000105,0.000341,0.000229,0.000010,0.000335,0.000023,0.000103,0.000019,0.000010,0.000366,0.000333,0.000315,0.000341,0.000010,0.000327,0.000010,0.000313,0.000326,0.000281,0.000300,0.000340,0.000319,0.000310,0.000333,0.000010,0.000311
Bacteroides_massiliensis,0.002797,0.003413,0.005347,0.000310,0.003201,0.006853,0.003042,0.006161,0.000105,0.002960,0.002967,0.006294,0.002314,0.001413,0.003628,0.004510,0.002600,0.004749,0.000163,0.003334,0.000552,0.002588,0.004646,0.004472,0.002379,0.003140,0.004334,0.002489,0.002903,0.001296,0.002523
Bacteroides_ovatus,0.012812,0.013094,0.011687,0.008452,0.012704,0.009313,0.012690,0.011180,0.009902,0.012408,0.006700,0.009262,0.007201,0.006244,0.012024,0.012510,0.012587,0.012274,0.009653,0.012482,0.007169,0.012934,0.012116,0.011585,0.012731,0.012798,0.012258,0.012785,0.013121,0.005846,0.012823
Bacteroides_salyersiae,0.000420,0.000471,0.000684,0.000081,0.000459,0.000821,0.000444,0.000792,0.000034,0.000437,0.000375,0.000767,0.000356,0.000234,0.000530,0.000609,0.000392,0.000658,0.000050,0.000470,0.000123,0.000386,0.000632,0.000584,0.000365,0.000458,0.000580,0.000376,0.000425,0.000205,0.000379
Bacteroides_sp_2_1_22,0.001214,0.001368,0.001910,0.000341,0.001304,0.002470,0.001261,0.002209,0.000150,0.001251,0.001467,0.002340,0.001308,0.000973,0.001479,0.001617,0.001141,0.001744,0.000212,0.001329,0.000521,0.001119,0.001693,0.001619,0.001054,0.001304,0.001622,0.001081,0.001243,0.000882,0.001107
Bacteroides_stercoris,0.010662,0.011492,0.014400,0.004152,0.011293,0.016639,0.010910,0.015702,0.002773,0.010805,0.010421,0.016607,0.010348,0.007718,0.011871,0.013440,0.010350,0.014189,0.003272,0.011420,0.005147,0.010184,0.013564,0.013065,0.009806,0.011164,0.012931,0.010006,0.010787,0.007225,0.010125
Bacteroides_thetaiotaomicron,0.006549,0.007460,0.008614,0.000177,0.006981,0.008133,0.006749,0.009245,0.000055,0.006709,0.002802,0.007864,0.001997,0.001163,0.007611,0.007944,0.006133,0.008867,0.000085,0.007103,0.000358,0.006094,0.008340,0.008146,0.005664,0.006985,0.008141,0.005899,0.006724,0.001053,0.006024
Bacteroides_uniformis,0.015566,0.017564,0.027503,0.006015,0.017010,0.037349,0.016789,0.033550,0.002156,0.016853,0.029164,0.037126,0.024555,0.021655,0.020916,0.022908,0.014292,0.025443,0.003223,0.017693,0.010514,0.014007,0.025205,0.023164,0.013202,0.017212,0.022629,0.013657,0.015724,0.020838,0.013912
Bacteroides_vulgatus,0.018305,0.018763,0.021936,0.007401,0.018668,0.027842,0.019055,0.024206,0.004170,0.019066,0.023375,0.026163,0.020031,0.018766,0.020439,0.021526,0.017555,0.020759,0.005166,0.019070,0.010770,0.017588,0.021176,0.020035,0.017020,0.018978,0.020371,0.017453,0.018367,0.017988,0.017635
Bacteroides_xylanisolvens,0.000974,0.001079,0.001292,0.000061,0.001015,0.001101,0.001005,0.001329,0.000022,0.000989,0.000431,0.001073,0.000368,0.000236,0.001086,0.001166,0.000932,0.001217,0.000034,0.001041,0.000104,0.000939,0.001217,0.001159,0.000886,0.001025,0.001190,0.000914,0.001007,0.000210,0.000941
Bacteroidales_bacterium_ph8,0.002518,0.002311,0.001510,0.000011,0.002382,0.000416,0.002469,0.001152,0.000010,0.002428,0.000091,0.000429,0.000070,0.000038,0.002411,0.002046,0.002452,0.002113,0.000010,0.002327,0.000016,0.002482,0.001969,0.001776,0.002470,0.002458,0.002049,0.002459,0.002526,0.000034,0.002439
Barnesiella_intestinihominis,0.004080,0.004224,0.004479,0.000124,0.004149,0.003542,0.004146,0.004668,0.000051,0.004040,0.001262,0.003440,0.000965,0.000574,0.004293,0.004415,0.003966,0.004399,0.000072,0.004146,0.000216,0.003989,0.004509,0.004158,0.003856,0.004165,0.004430,0.003964,0.004167,0.000523,0.003989
Odoribacter_laneus,0.000990,0.001075,0.001405,0.000099,0.001064,0.001316,0.001060,0.001514,0.000045,0.001067,0.000542,0.001258,0.000468,0.000285,0.001261,0.001367,0.000922,0.001409,0.000063,0.001103,0.000142,0.000911,0.001361,0.001250,0.000863,0.001070,0.001268,0.000892,0.000996,0.000253,0.000898
Odoribacter_splanchnicus,0.001915,0.002129,0.003002,0.000234,0.002103,0.003464,0.002038,0.003231,0.000090,0.002020,0.001662,0.003320,0.001389,0.000949,0.002404,0.002866,0.001769,0.002988,0.000133,0.002156,0.000402,0.001719,0.002754,0.002637,0.001605,0.002083,0.002594,0.001686,0.001926,0.000851,0.001713
Parabacteroides_distasonis,0.002822,0.003164,0.004855,0.005407,0.003046,0.007882,0.002970,0.005733,0.001897,0.002942,0.010573,0.008103,0.011096,0.011820,0.003287,0.003889,0.002657,0.004122,0.003012,0.003170,0.008348,0.002653,0.004055,0.003888,0.002520,0.003029,0.003784,0.002605,0.002861,0.011290,0.002604
Parabacteroides_goldsteinii,0.000625,0.000699,0.000883,0.000017,0.000667,0.000635,0.000658,0.000923,0.000010,0.000650,0.000162,0.000614,0.000126,0.000066,0.000770,0.000792,0.000589,0.000857,0.000010,0.000688,0.000026,0.000585,0.000854,0.000794,0.000552,0.000673,0.000821,0.000564,0.000641,0.000058,0.000580
Parabacteroides_merdae,0.006575,0.008278,0.015700,0.004839,0.007823,0.026228,0.007263,0.020025,0.001693,0.007163,0.018006,0.024186,0.016999,0.014509,0.009763,0.012281,0.006000,0.014252,0.002658,0.008279,0.007784,0.005775,0.013573,0.012597,0.005236,0.007665,0.011860,0.005510,0.006796,0.013671,0.005671
Parabacteroides_unclassified,0.003433,0.004331,0.009260,0.016979,0.003998,0.025053,0.003786,0.012912,0.005607,0.003758,0.038589,0.024278,0.038104,0.045153,0.004790,0.006253,0.003152,0.007051,0.008842,0.004282,0.028207,0.003092,0.006950,0.006768,0.002826,0.003959,0.006199,0.002968,0.003545,0.044200,0.003048
Paraprevotella_clara,0.000213,0.000225,0.000257,0.000016,0.000225,0.000189,0.000221,0.000252,0.000010,0.000216,0.000069,0.000184,0.000064,0.000041,0.000243,0.000258,0.000195,0.000277,0.000010,0.000225,0.000023,0.000194,0.000266,0.000230,0.000182,0.000226,0.000250,0.000189,0.000216,0.000036,0.000191
Paraprevotella_unclassified,0.000598,0.000675,0.000770,0.000045,0.000634,0.000524,0.000620,0.000769,0.000017,0.000605,0.000235,0.000540,0.000208,0.000145,0.000709,0.000755,0.000556,0.000818,0.000026,0.000646,0.000071,0.000554,0.000770,0.000709,0.000511,0.000642,0.000749,0.000533,0.000619,0.000130,0.000543
Prevotella_copri,0.019414,0.020969,0.027044,0.000429,0.020373,0.021030,0.020330,0.027925,0.000152,0.020380,0.005871,0.019969,0.004038,0.002124,0.022416,0.024302,0.018572,0.024883,0.000230,0.021179,0.000733,0.018449,0.024855,0.024004,0.017790,0.020424,0.023988,0.018258,0.019571,0.001931,0.018299
Alistipes_finegoldii,0.002455,0.002723,0.003622,0.000098,0.002663,0.003315,0.002629,0.004000,0.000032,0.002639,0.000996,0.003087,0.000809,0.000456,0.003189,0.003623,0.002288,0.003696,0.000052,0.002749,0.000173,0.002256,0.003579,0.003313,0.002127,0.002672,0.003304,0.002215,0.002478,0.000409,0.002224
Alistipes_indistinctus,0.000645,0.000713,0.000958,0.000061,0.000721,0.000958,0.000691,0.000997,0.000024,0.000683,0.000372,0.000881,0.000348,0.000207,0.000856,0.000948,0.000607,0.001007,0.000036,0.000735,0.000095,0.000590,0.000969,0.000861,0.000552,0.000708,0.000881,0.000572,0.000654,0.000185,0.000579
Alistipes_onderdonkii,0.009940,0.011678,0.018116,0.002101,0.010950,0.024193,0.010280,0.021896,0.000857,0.009861,0.013905,0.024250,0.011622,0.008469,0.011335,0.014950,0.009218,0.016336,0.001212,0.010927,0.003588,0.009279,0.015744,0.014410,0.008724,0.010789,0.014360,0.008994,0.010342,0.007791,0.009023
Alistipes_putredinis,0.021485,0.022515,0.022941,0.000364,0.021895,0.014228,0.021749,0.022681,0.000123,0.021664,0.004573,0.014522,0.003471,0.001965,0.023871,0.023694,0.020787,0.025081,0.000186,0.022096,0.000670,0.020673,0.023973,0.022681,0.020052,0.022115,0.023653,0.020274,0.021816,0.001770,0.020524
Alistipes_senegalensis,0.000258,0.000254,0.000228,0.000010,0.000253,0.000107,0.000253,0.000202,0.000010,0.000243,0.000032,0.000106,0.000028,0.000017,0.000255,0.000239,0.000254,0.000253,0.000010,0.000251,0.000010,0.000255,0.000248,0.000222,0.000248,0.000258,0.000248,0.000251,0.000263,0.000015,0.000252
Alistipes_shahii,0.004993,0.004737,0.004046,0.000046,0.004870,0.001666,0.004999,0.003397,0.000022,0.005006,0.000426,0.001642,0.000311,0.000175,0.005220,0.004453,0.004936,0.004517,0.000029,0.004888,0.000070,0.004907,0.004533,0.004276,0.004881,0.004922,0.004621,0.004913,0.004979,0.000157,0.004912
Alistipes_sp_AP11,0.000421,0.000489,0.000686,0.000053,0.000473,0.000653,0.000454,0.000735,0.000018,0.000441,0.000326,0.000651,0.000286,0.000212,0.000521,0.000611,0.000392,0.000656,0.000029,0.000484,0.000093,0.000391,0.000638,0.000582,0.000365,0.000465,0.000596,0.000378,0.000437,0.000191,0.000379
Alistipes_sp_HGB5,0.000605,0.000650,0.000749,0.000125,0.000632,0.000721,0.000620,0.000808,0.000058,0.000601,0.000379,0.000683,0.000365,0.000269,0.000670,0.000729,0.000582,0.000737,0.000084,0.000640,0.000168,0.000581,0.000714,0.000669,0.000555,0.000632,0.000702,0.000566,0.000620,0.000243,0.000572
Alistipes_unclassified,0.001355,0.001535,0.001775,0.000032,0.001446,0.001441,0.001396,0.001874,0.000012,0.001372,0.000395,0.001432,0.000311,0.000151,0.001509,0.001670,0.001297,0.001833,0.000019,0.001471,0.000054,0.001293,0.001709,0.001682,0.001234,0.001437,0.001685,0.001251,0.001391,0.000132,0.001263
Enterococcus_avium,0.000051,0.000062,0.000098,0.000059,0.000057,0.000135,0.000054,0.000114,0.000024,0.000052,0.000102,0.000135,0.000114,0.000101,0.000063,0.000078,0.000047,0.000086,0.000038,0.000059,0.000078,0.000046,0.000084,0.000076,0.000042,0.000057,0.000077,0.000044,0.000053,0.000091,0.000045
Enterococcus_faecalis,0.000049,0.000055,0.000085,0.001204,0.000054,0.000163,0.000052,0.000105,0.001644,0.000050,0.000223,0.000155,0.000358,0.000368,0.000057,0.000078,0.000046,0.000078,0.001669,0.000054,0.000796,0.000046,0.000074,0.000065,0.000044,0.000053,0.000067,0.000045,0.000050,0.000330,0.000044
Enterococcus_faecium,0.001476,0.001613,0.002382,0.014728,0.001616,0.003672,0.001582,0.002707,0.021249,0.001546,0.004263,0.003483,0.005859,0.005451,0.001770,0.002201,0.001384,0.002161,0.020279,0.001633,0.009940,0.001382,0.002146,0.001895,0.001322,0.001599,0.001952,0.001357,0.001497,0.005171,0.001339
Lactobacillus_acidophilus,0.000053,0.000064,0.000100,0.000724,0.000060,0.000206,0.000056,0.000124,0.000504,0.000054,0.000322,0.000205,0.000461,0.000496,0.000062,0.000079,0.000050,0.000087,0.000650,0.000060,0.000688,0.000050,0.000082,0.000075,0.000047,0.000059,0.000076,0.000048,0.000056,0.000455,0.000047
Lactobacillus_casei_paracasei,0.000036,0.000042,0.000067,0.000081,0.000041,0.000123,0.000039,0.000084,0.000039,0.000038,0.000109,0.000117,0.000133,0.000115,0.000044,0.000059,0.000033,0.000060,0.000057,0.000042,0.000099,0.000034,0.000059,0.000051,0.000031,0.000040,0.000052,0.000033,0.000038,0.000103,0.000033
Lactobacillus_fermentum,0.000102,0.000147,0.000460,0.010587,0.000130,0.002024,0.000115,0.000713,0.005543,0.000111,0.006302,0.002088,0.008571,0.012340,0.000151,0.000259,0.000090,0.000293,0.007699,0.000138,0.013131,0.000089,0.000285,0.000259,0.000078,0.000124,0.000237,0.000084,0.000109,0.011927,0.000084
Lactobacillus_gasseri,0.000290,0.000393,0.000913,0.066673,0.000355,0.004260,0.000319,0.001444,0.070181,0.000310,0.010220,0.003857,0.017023,0.022497,0.000378,0.000621,0.000266,0.000657,0.078147,0.000370,0.050619,0.000268,0.000643,0.000638,0.000246,0.000338,0.000566,0.000255,0.000306,0.021194,0.000260
